firstName lastName age numberOfAccidents isInsurable baseInsurance ageSurcharge accidentSurcharge totalInsuranceCost 
Eryk Morrison 57 7 false NaN NaN NaN NaN
Eve Spooner 64 6 false NaN NaN NaN NaN
Ptolemy Cox 65 5 true 500.0 100.0 575.0 1175.0 
Soraya Blackburn 31 5 true 500.0 100.0 575.0 1175.0 
Colby Crane 40 5 true 500.0 100.0 575.0 1175.0 
Anja Smith 25 3 true 500.0 100.0 225.0 825.0 
Jenny Savage 62 4 true 500.0 100.0 375.0 975.0 
Wilfred Dunne 56 7 false NaN NaN NaN NaN
Gideon Mccoy 53 3 true 500.0 100.0 225.0 825.0 
Grayson Burns 67 7 false NaN NaN NaN NaN
Floyd Beech 60 3 true 500.0 100.0 225.0 825.0 
Corban Oconnor 35 0 true 500.0 100.0 0.0 600.0 
Seren Halliday 29 7 false NaN NaN NaN NaN
Craig Barrett 69 7 false NaN NaN NaN NaN
Sam Campos 33 6 false NaN NaN NaN NaN
Ivie Wickens 50 3 true 500.0 100.0 225.0 825.0 
Elise Marshall 28 4 true 500.0 100.0 375.0 975.0 
Ayla Welch 31 1 true 500.0 100.0 50.0 650.0 
Riyad Donovan 60 4 true 500.0 100.0 375.0 975.0 
Thierry Mora 22 5 true 500.0 0.0 575.0 1075.0 
Marcos Mcclure 56 2 true 500.0 100.0 125.0 725.0 
Fatma Mohammed 58 7 false NaN NaN NaN NaN
Nyle Powell 37 5 true 500.0 100.0 575.0 1175.0 
Saira Bevan 68 7 false NaN NaN NaN NaN
Vlad Hatfield 16 6 false NaN NaN NaN NaN
Annika Davies 63 4 true 500.0 100.0 375.0 975.0 
Romeo Parrish 20 7 false NaN NaN NaN NaN
Deacon Wicks 67 0 true 500.0 100.0 0.0 600.0 
Taio Golden 19 2 true 500.0 0.0 125.0 625.0 
Bryce Stafford 22 7 false NaN NaN NaN NaN
Kendal Mcfarland 48 5 true 500.0 100.0 575.0 1175.0 
Carmel Schmitt 55 5 true 500.0 100.0 575.0 1175.0 
Nabiha Cash 17 5 true 500.0 0.0 575.0 1075.0 
Naima Lewis 42 3 true 500.0 100.0 225.0 825.0 
Madiha Reader 62 6 false NaN NaN NaN NaN
Bethaney Redfern 17 3 true 500.0 0.0 225.0 725.0 
Abbi Macdonald 37 3 true 500.0 100.0 225.0 825.0 
Elvis Fox 51 1 true 500.0 100.0 50.0 650.0 
Chandni Philip 46 1 true 500.0 100.0 50.0 650.0 
Kiara Mcconnell 42 2 true 500.0 100.0 125.0 725.0 
Kristi Rosales 68 0 true 500.0 100.0 0.0 600.0 
Neave Rush 69 0 true 500.0 100.0 0.0 600.0 
Alaw Cabrera 21 2 true 500.0 0.0 125.0 625.0 
Avery Kim 46 6 false NaN NaN NaN NaN
Azeem Mckenna 24 6 false NaN NaN NaN NaN
Stanley Glass 46 2 true 500.0 100.0 125.0 725.0 
Sean Mackay 58 0 true 500.0 100.0 0.0 600.0 
Roland Esparza 37 5 true 500.0 100.0 575.0 1175.0 
Cherie Hobbs 40 4 true 500.0 100.0 375.0 975.0 
Florrie Pennington 58 7 false NaN NaN NaN NaN
Benjamin Doyle 23 4 true 500.0 0.0 375.0 875.0 
Lex O'Reilly 26 1 true 500.0 100.0 50.0 650.0 
Elisa Sawyer 25 4 true 500.0 100.0 375.0 975.0 
Izabela Heaton 22 1 true 500.0 0.0 50.0 550.0 
Anand Freeman 26 0 true 500.0 100.0 0.0 600.0 
Kim Lancaster 49 0 true 500.0 100.0 0.0 600.0 
Neo Mcgrath 58 3 true 500.0 100.0 225.0 825.0 
Harvie Clements 38 7 false NaN NaN NaN NaN
Raphael Cantrell 43 1 true 500.0 100.0 50.0 650.0 
Alfie Hamer 19 4 true 500.0 0.0 375.0 875.0 
Naveed Blundell 60 4 true 500.0 100.0 375.0 975.0 
Isaiah Colley 59 7 false NaN NaN NaN NaN
Dania Ritter 62 6 false NaN NaN NaN NaN
Maizie Mejia 18 4 true 500.0 0.0 375.0 875.0 
Finley Villarreal 34 7 false NaN NaN NaN NaN
Kieron Melia 52 7 false NaN NaN NaN NaN
Lauren Brady 21 4 true 500.0 0.0 375.0 875.0 
Taliyah Shelton 26 7 false NaN NaN NaN NaN
Abiha Parker 55 3 true 500.0 100.0 225.0 825.0 
Howard Corrigan 29 3 true 500.0 100.0 225.0 825.0 
Lennie Mclaughlin 58 7 false NaN NaN NaN NaN
Jak Devine 61 4 true 500.0 100.0 375.0 975.0 
Kiya Woodley 44 2 true 500.0 100.0 125.0 725.0 
Dennis Swan 43 7 false NaN NaN NaN NaN
Stan Pate 69 1 true 500.0 100.0 50.0 650.0 
Giles Escobar 46 1 true 500.0 100.0 50.0 650.0 
Leandro Medina 23 6 false NaN NaN NaN NaN
Darin Hartman 53 6 false NaN NaN NaN NaN
Natalia Humphreys 46 1 true 500.0 100.0 50.0 650.0 
Eiliyah Gough 32 7 false NaN NaN NaN NaN
Louie Fletcher 48 4 true 500.0 100.0 375.0 975.0 
Lizzie Jefferson 53 0 true 500.0 100.0 0.0 600.0 
Rubi Stacey 32 0 true 500.0 100.0 0.0 600.0 
Elsa Cox 56 2 true 500.0 100.0 125.0 725.0 
Tadhg Delacruz 63 7 false NaN NaN NaN NaN
Jolyon Wood 50 1 true 500.0 100.0 50.0 650.0 
Percy Davies 40 6 false NaN NaN NaN NaN
Cassius Goldsmith 57 6 false NaN NaN NaN NaN
Bogdan Ewing 21 1 true 500.0 0.0 50.0 550.0 
Bevan Moyer 39 7 false NaN NaN NaN NaN
Ariana Sharma 25 4 true 500.0 100.0 375.0 975.0 
Shabaz Galindo 27 7 false NaN NaN NaN NaN
Lola Burris 69 5 true 500.0 100.0 575.0 1175.0 
Zahraa Singleton 46 1 true 500.0 100.0 50.0 650.0 
Jem Rodriguez 56 1 true 500.0 100.0 50.0 650.0 
Sila Fitzpatrick 40 1 true 500.0 100.0 50.0 650.0 
Charlton Burke 28 4 true 500.0 100.0 375.0 975.0 
Bea Patterson 27 5 true 500.0 100.0 575.0 1175.0 
Layla Jackson 28 7 false NaN NaN NaN NaN
Dionne Kelly 57 1 true 500.0 100.0 50.0 650.0 
Evie-Rose Hayward 60 0 true 500.0 100.0 0.0 600.0 
Catrina Rees 52 3 true 500.0 100.0 225.0 825.0 
Dixie Handley 55 1 true 500.0 100.0 50.0 650.0 
Nial Oakley 39 1 true 500.0 100.0 50.0 650.0 
Massimo Peterson 16 5 true 500.0 0.0 575.0 1075.0 
Willem Wooten 70 6 false NaN NaN NaN NaN
Lennox Griffiths 23 6 false NaN NaN NaN NaN
Hadi Mcmillan 31 2 true 500.0 100.0 125.0 725.0 
Roman Price 27 5 true 500.0 100.0 575.0 1175.0 
Nora Mcgill 26 4 true 500.0 100.0 375.0 975.0 
Milena Alexander 52 4 true 500.0 100.0 375.0 975.0 
Daisy Hoffman 35 7 false NaN NaN NaN NaN
Robbie Berger 50 2 true 500.0 100.0 125.0 725.0 
Megan Knott 57 0 true 500.0 100.0 0.0 600.0 
Kalum Church 35 3 true 500.0 100.0 225.0 825.0 
Patricia Beasley 55 0 true 500.0 100.0 0.0 600.0 
Vincenzo Rowe 30 3 true 500.0 100.0 225.0 825.0 
Atticus Vincent 25 5 true 500.0 100.0 575.0 1175.0 
Wesley Sandoval 57 6 false NaN NaN NaN NaN
Nicolle Edwards 18 7 false NaN NaN NaN NaN
Anabel Huang 27 1 true 500.0 100.0 50.0 650.0 
Ella-Mae Carty 55 7 false NaN NaN NaN NaN
Layla-Rose Floyd 53 2 true 500.0 100.0 125.0 725.0 
Teodor Fuller 49 1 true 500.0 100.0 50.0 650.0 
Jonas Lloyd 45 1 true 500.0 100.0 50.0 650.0 
Farhan Glass 49 5 true 500.0 100.0 575.0 1175.0 
Layton Rudd 54 7 false NaN NaN NaN NaN
Jad Spence 65 4 true 500.0 100.0 375.0 975.0 
Johnnie Lennon 22 2 true 500.0 0.0 125.0 625.0 
Aran Haas 26 1 true 500.0 100.0 50.0 650.0 
Alessandro Mccabe 46 1 true 500.0 100.0 50.0 650.0 
Tyla Flores 21 0 true 500.0 0.0 0.0 500.0 
Brayden Hackett 67 2 true 500.0 100.0 125.0 725.0 
Kierran Murillo 44 3 true 500.0 100.0 225.0 825.0 
Danish Jennings 21 4 true 500.0 0.0 375.0 875.0 
John-James Marquez 62 4 true 500.0 100.0 375.0 975.0 
Myles Tate 34 0 true 500.0 100.0 0.0 600.0 
Orion Ruiz 66 7 false NaN NaN NaN NaN
Cavan Humphrey 38 4 true 500.0 100.0 375.0 975.0 
Bella Ingram 65 3 true 500.0 100.0 225.0 825.0 
Laaibah Cannon 65 4 true 500.0 100.0 375.0 975.0 
Iain Reeves 18 4 true 500.0 0.0 375.0 875.0 
Cleo Hodson 70 5 true 500.0 100.0 575.0 1175.0 
Hollie Mcculloch 21 0 true 500.0 0.0 0.0 500.0 
Rico Rubio 51 7 false NaN NaN NaN NaN
Andreas Decker 29 7 false NaN NaN NaN NaN
